nome_padronizado,nome_2023,nome_2024,nome_2025,
responsabilidades_como_gestor_equipe_mlai,"('P3_c_7 ', 'Sou gestor da equipe responsável por iniciativas e projetos envolvendo Inteligência Artificial e Machine Learning.')",3.c.7_gestor da equipe de Inteligência Artificial e Machine Learning,3.c.7_gestor da equipe de Inteligência Artificial e Machine Learning,
responsabilidades_como_gestor_tecnico,"('P3_c_8 ', 'Apesar de ser gestor ainda atuo na parte técnica, construindo soluções/análises/modelos etc.')",3.c.8_Apesar de ser gestor ainda atuo na parte técnica,3.c.8_Apesar de ser gestor ainda atuo na parte técnica,
responsabilidades_como_gestor_projetos_dados,"('P3_c_9 ', 'Gestão de projetos de dados, cuidando das etapas, equipes envolvidas, atingimento dos objetivos etc.')",3.c.9_Gestão de projetos de dados,3.c.9_Gestão de projetos de dados,
responsabilidades_como_gestor_produtos_dados,"('P3_c_10 ', 'Gestão de produtos de dados, cuidando da visão dos produtos, backlog, feedback de usuários etc.')",3.c.10_Gestão de produtos de dados,3.c.10_Gestão de produtos de dados,
responsabilidades_como_gestor_pessoas,"('P3_c_11 ', 'Gestão de pessoas, apoio no desenvolvimento das pessoas, evolução de carreira')",3.c.11_Gestão de pessoas,3.c.11_Gestão de pessoas,
desafios_como_gestor,"('P3_d ', 'Quais são os 3 maiores desafios que você tem como gestor no atual momento?')",3.d_desafios_como_gestor,3.d_desafios_como_gestor,
desafios_como_gestor_contratar,"('P3_d_1 ', 'a Contratar novos talentos.')",3.d.1_Contratar talentos,3.d.1_Contratar talentos,
desafios_como_gestor_reter,"('P3_d_2 ', 'b Reter talentos.')",3.d.2_Reter talentos,3.d.2_Reter talentos,
desafios_como_gestor_investir,"('P3_d_3 ', 'c Convencer a empresa a aumentar os investimentos na área de dados.')",3.d.3_Convencer a empresa a aumentar investimentos,3.d.3_Convencer a empresa a aumentar investimentos,
desafios_como_gestor_remoto,"('P3_d_4 ', 'd Gestão de equipes no ambiente remoto.')",3.d.4_Gestão de equipes no ambiente remoto,3.d.4_Gestão de equipes no ambiente remoto,
desafios_como_gestor_multidisciplinaridade,"('P3_d_5 ', 'e Gestão de projetos envolvendo áreas multidisciplinares da empresa.')",3.d.5_Gestão de projetos envolvendo áreas multidisciplinares,3.d.5_Gestão de projetos envolvendo áreas multidisciplinares,
desafios_como_gestor_qualidade,"('P3_d_6 ', 'f Organizar as informações e garantir a qualidade e confiabilidade.')",3.d.6_Organizar as informações com qualidade e confiabilidade,3.d.6_Organizar as informações com qualidade e confiabilidade,
desafios_como_gestor_dados,"('P3_d_7 ', 'g Conseguir processar e armazenar um alto volume de dados.')",3.d.7_Processar e armazenar um alto volume de dados,3.d.7_Processar e armazenar um alto volume de dados,
desafios_como_gestor_valor,"('P3_d_8 ', 'h Conseguir gerar valor para as áreas de negócios através de estudos e experimentos.')",3.d.8_Gerar valor para as áreas de negócios,3.d.8_Gerar valor para as áreas de negócios,
desafios_como_gestor_modelos,"('P3_d_9 ', 'i Desenvolver e manter modelos Machine Learning em produção.')",3.d.9_Desenvolver e manter modelos Machine Learning em produção,3.d.9_Desenvolver e manter modelos Machine Learning em produção,
desafios_como_gestor_expectativa,"('P3_d_10 ', 'j Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.')",3.d.10_Gerenciar a expectativa das áreas,3.d.10_Gerenciar a expectativa das áreas,
desafios_como_gestor_manutencao,"('P3_d_11 ', 'k Garantir a manutenção dos projetos e modelos em produção, em meio ao crescimento da empresa.')",3.d.11_Garantir a manutenção dos projetos e modelos em produção,3.d.11_Garantir a manutenção dos projetos e modelos em produção,
desafios_como_gestor_inovacao,"('P3_d_12 ', 'Conseguir levar inovação para a empresa através dos dados.')",3.d.12_Conseguir levar inovação para a empresa,3.d.12_Conseguir levar inovação para a empresa,
desafios_como_gestor_roi,"('P3_d_13 ', 'Garantir retorno do investimento (ROI) em projetos de dados.')",3.d.13_Garantir (ROI) em projetos de dados,3.d.13_Garantir (ROI) em projetos de dados,
desafios_como_gestor_tempo,"('P3_d_14 ', 'Dividir o tempo entre entregas técnicas e gestão.')",3.d.14_Dividir o tempo entre entregas técnicas e gestão,3.d.14_Dividir o tempo entre entregas técnicas e gestão,
ai_prioridade,"('P3_e ', 'AI Generativa é uma prioridade em sua empresa?')",3.e_ai_generativa_e_llm_é_uma_prioridade?,3.e_ai_generativa_e_llm_é_uma_prioridade?,
ai_resultados,,,3.g_empresa_está_conseguindo_ter_bons_resultados_com_llms,
ai_uso,"('P3_f ', 'Tipos de uso de AI Generativa e LLMs na empresa')",3.f_tipo_de_uso_de_ai_generativa_e_llm_na_empresa,3.f_tipo_de_uso_de_ai_generativa_e_llm_na_empresa,
ai_uso_independente,"('P3_f_1 ', 'Colaboradores usando AI generativa de forma independente e descentralizada')",3.f.1 Colaboradores usando AI generativa de forma independente e descentralizada,3.f.1 Colaboradores usando AI generativa de forma independente e descentralizada,
ai_uso_centralizado,"('P3_f_2 ', 'Direcionamento centralizado do uso de AI generativa')",3.f.2 Direcionamento centralizado do uso de AI generativa,3.f.2 Direcionamento centralizado do uso de AI generativa,
ai_uso_copilotos,"('P3_f_3 ', 'Desenvolvedores utilizando Copilots')",3.f.3 Desenvolvedores utilizando Copilots,3.f.3 Desenvolvedores utilizando Copilots,
ai_uso_produtos_externos,"('P3_f_4 ', 'AI Generativa e LLMs para melhorar produtos externos')",3.f.4 AI Generativa e LLMs para melhorar produtos externos para os clientes finais,3.f.4 AI Generativa e LLMs para melhorar produtos externos para os clientes finais,
ai_uso_produtos_internos,"('P3_f_5 ', 'AI Generativa e LLMs para melhorar produtos internos para os colaboradores')",3.f.5 AI Generativa e LLMs para melhorar produtos internos para os colaboradores,3.f.5 AI Generativa e LLMs para melhorar produtos internos para os colaboradores,
ai_uso_principal,"('P3_f_6 ', 'IA Generativa e LLMs como principal frente do negócio')",3.f.6 IA Generativa e LLMs como principal frente do negócio,3.f.6 IA Generativa e LLMs como principal frente do negócio,
ai_uso_sem_uso,"('P3_f_7 ', 'IA Generativa e LLMs não é prioridade')",3.f.7 IA Generativa e LLMs não é prioridade,3.f.7 IA Generativa e LLMs não é prioridade,
ai_uso_sem_opiniao,"('P3_f_8 ', 'Não sei opinar sobre o uso de IA Generativa e LLMs na empresa')",3.f.8 Não sei opinar sobre o uso de IA Generativa e LLMs na empresa,3.f.8 Não sei opinar sobre o uso de IA Generativa e LLMs na empresa,
ai_motivo_desuso,"('P3_g ', 'Motivos que levam a empresa a não usar AI Genrativa e LLMs')",3.g_motivos_para_não_usar_ai_generativa_e_llm,3.h_motivos_para_não_usar_ai_generativa_e_llm,
ai_motivo_desuso_cases,"('P3_g_1 ', 'Falta de compreensão dos casos de uso')",3.g.1 Falta de compreensão dos casos de uso,3.h.1 Falta de compreensão dos casos de uso,
ai_motivo_desuso_confiabilidade,"('P3_g_2 ', 'Falta de confiabilidade das saídas (alucinação dos modelos)')",3.g.2 Falta de confiabilidade das saídas (alucinação dos modelos),3.h.2 Falta de confiabilidade das saídas (alucinação dos modelos),
ai_motivo_desuso_regulamentacao,"('P3_g_3 ', 'Incerteza em relação a regulamentação')",3.g.3 Incerteza em relação a regulamentação,3.h.3 Incerteza em relação a regulamentação,
ai_motivo_desuso_seguranca,"('P3_g_4 ', 'Preocupações com segurança e privacidade de dados')",3.g.4 Preocupações com segurança e privacidade de dados,3.h.4 Preocupações com segurança e privacidade de dados,
ai_motivo_desuso_roi,"('P3_g_5 ', 'Retorno sobre investimento (ROI) não comprovado de IA Generativa')",3.g.5 Retorno sobre investimento (ROI) não comprovado de IA Generativa,3.h.5 Retorno sobre investimento (ROI) não comprovado de IA Generativa,
ai_motivo_desuso_dados,"('P3_g_6 ', 'Dados da empresa não estão prontos para uso de IA Generativa')",3.g.6 Dados da empresa não estão prontos para uso de IA Generativa,3.h.6 Dados da empresa não estão prontos para uso de IA Generativa,
ai_motivo_desuso_expertise,"('P3_g_7 ', 'Falta de expertise ou falta de recursos')",3.g.7 Falta de expertise ou falta de recursos,3.h.7 Falta de expertise ou falta de recursos,
ai_motivo_desuso_lideranca,"('P3_g_8 ', 'Alta direção da empresa não vê valor ou não vê como prioridade')",3.g.8 Alta direção da empresa não vê valor ou não vê como prioridade,3.h.8 Alta direção da empresa não vê valor ou não vê como prioridade,
ai_motivo_desuso_propriedade_intelectual,"('P3_g_9 ', 'Preocupações com propriedade intelectual')",3.g.9 Preocupações com propriedade intelectual,3.h.9 Preocupações com propriedade intelectual,
atuacao_funcao,"('P4_a ', 'Mesmo que esse não seja seu cargo formal, você considera que sua atuação no dia a dia, reflete alguma das opções listadas abaixo?')",4.a_funcao_de_atuacao,4.a_funcao_de_atuacao,
atuacao_dados,"('P4_a_1 ', 'Atuacao')",4.a.1_atuacao_em_dados,4.a.1_atuacao_em_dados,
origem_dados,"('P4_b ', 'Quais das fontes de dados listadas você já analisou ou processou no trabalho?')",4.b_fontes_de_dados_(dia_a_dia),4.b_fontes_de_dados_(dia_a_dia),
origem_dados_relacionais,"('P4_b_1 ', 'Dados relacionais (estruturados em bancos SQL)')",4.b.1_Dados relacionais (estruturados em bancos SQL),4.b.1_Dados relacionais (estruturados em bancos SQL),
origem_dados_nosql,"('P4_b_2 ', 'Dados armazenados em bancos NoSQL')",4.b.2_Dados armazenados em bancos NoSQL,4.b.2_Dados armazenados em bancos NoSQL,
origem_dados_imagens,"('P4_b_3 ', 'Imagens')",4.b.3_Imagens,4.b.3_Imagens,
origem_dados_documentos,"('P4_b_4 ', 'Textos/Documentos')",4.b.4_Textos/Documentos,4.b.4_Textos/Documentos,
origem_dados_videos,"('P4_b_5 ', 'Vídeos')",4.b.5_Vídeos,4.b.5_Vídeos,
origem_dados_audios,"('P4_b_6 ', 'Áudios')",4.b.6_Áudios,4.b.6_Áudios,
origem_dados_planilhas,"('P4_b_7 ', 'Planilhas')",4.b.7_Planilhas,4.b.7_Planilhas,
origem_dados_georeferenciados,"('P4_b_8 ', 'Dados georeferenciados')",4.b.8_Dados georeferenciados,4.b.8_Dados georeferenciados,
origem_dados_usados,"('P4_c ', 'Entre as fontes de dados listadas, quais você utiliza na maior parte do tempo?')",4.c_fonte_de_dado_mais_usada,,
origem_dados_usados_relacionais,"('P4_c_1 ', 'Dados relacionais (estruturados em bancos SQL)')",4.c.1_Dados relacionais (estruturados em bancos SQL),,
origem_dados_usados_nosql,"('P4_c_2 ', 'Dados armazenados em bancos NoSQL')",4.c.2_Dados armazenados em bancos NoSQL,,
origem_dados_usados_imagens,"('P4_c_3 ', 'Imagens')",4.c.3_Imagens,,
origem_dados_usados_documentos,"('P4_c_4 ', 'Textos/Documentos')",4.c.4_Textos/Documentos,,
origem_dados_usados_videos,"('P4_c_5 ', 'Vídeos')",4.c.5_Vídeos,,
origem_dados_usados_audios,"('P4_c_6 ', 'Áudios')",4.c.6_Áudios,,
origem_dados_usados_planilhas,"('P4_c_7 ', 'Planilhas')",4.c.7_Planilhas,,
origem_dados_usados_georeferenciados,"('P4_c_8 ', 'Dados georeferenciados')",4.c.8_Dados georeferenciados,,
linguagem_programacao,"('P4_d ', 'Quais das linguagens listadas abaixo você utiliza no trabalho?')",4.d_linguagem_de_programacao_(dia_a_dia),,
linguagem_programacao_sql,"('P4_d_1 ', 'SQL')",4.d.1_SQL,4.c.1_SQL,
linguagem_programacao_r,"('P4_d_2 ', 'R ')",4.d.2_R,4.c.2_R,
linguagem_programacao_python,"('P4_d_3 ', 'Python')",4.d.3_Python,4.c.3_Python,
linguagem_programacao_c,"('P4_d_4 ', 'C/C++/C#')",4.d.4_C/C++/C#,4.c.4_C/C++/C#,
linguagem_programacao_net,"('P4_d_5 ', '.NET')",4.d.5_.NET,,
linguagem_programacao_java,"('P4_d_6 ', 'Java')",4.d.6_Java,,
linguagem_programacao_julia,"('P4_d_7 ', 'Julia')",4.d.7_Julia,4.c.5_Julia,
linguagem_programacao_sas,"('P4_d_8 ', 'SAS/Stata')",4.d.8_SAS/Stata,,
linguagem_programacao_vba,"('P4_d_9 ', 'Visual Basic/VBA')",4.d.9_Visual Basic/VBA,4.c.6_Visual Basic/VBA,
linguagem_programacao_scala,"('P4_d_10 ', 'Scala')",4.d.10_Scala,4.c.7_Scala,
linguagem_programacao_matlab,"('P4_d_11 ', 'Matlab')",4.d.11_Matlab,,
linguagem_programacao_rust,"('P4_d_12 ', 'Rust')",4.d.12_Rust,4.c.9_Rust,
linguagem_programacao_php,"('P4_d_13 ', 'PHP')",4.d.13_PHP,,
linguagem_programacao_javascript,"('P4_d_14 ', 'JavaScript')",4.d.14_JavaScript,,
linguagem_programacao_dax,,,4.c.8_DAX,
linguagem_programacao_sem_uso,"('P4_d_15 ', 'Não utilizo nenhuma linguagem')",4.d.15_Não utilizo nenhuma das linguagens listadas,4.c.10_Não utilizo nenhuma das linguagens listadas,
linguagem_programacao_usada,"('P4_e ', 'Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?')",4.e_linguagem_mais_usada,,
linguagem_programacao_preferida,"('P4_f ', 'Entre as linguagens listadas abaixo, qual é a sua preferida?')",4.f_linguagem_preferida,4.c_linguagem_preferida,
